ensemblID	GeneName	ProteinName	Description	protein_length	protein1	protein2	mRNA1	mRNA2
ENSMUST00000064139	Ppap2b;Lpp3	Lipid phosphate phosphohydrolase 3;Phosphatidic acid phosphatase 2b;PAP2-beta;Phosphatidate phosphohydrolase type 2b	Lipid phosphate phosphohydrolase 3	312	5048.81	17998.62	6.93	18.49
ENSMUST00000037440;ENSMUST00000118282	Atm	Serine-protein kinase ATM;Ataxia telangiectasia mutated homolog	Serine-protein kinase ATM	3066	5052.66	3734.49	6.31	7.63
ENSMUST00000084630;ENSMUST00000107796;ENSMUST00000116341	Mcart1;RP23-30F6.1-004	Mitochondrial carrier triple repeat protein 1;Mitochondrial carrier triple repeat 1	mitochondrial carrier triple repeat 1;Mitochondrial carrier triple repeat 1	315	5074.07	4302.66	9.79	9.63
ENSMUST00000040025;ENSMUST00000039509;ENSMUST00000034771	Tln2	Tln2 protein;Talin-2	talin 2;Talin-2;Putative uncharacterized protein	2543	5074.18	7404.61	4.96	7.21
ENSMUST00000040383	Cc2d1a	Coiled-coil and C2 domain-containing protein 1A;Five repressor element under dual repression-binding protein 1	Coiled-coil and C2 domain-containing protein 1A;99 kDa protein	943	5085.62	8652.86	11.56	17.15
ENSMUST00000066987	Galnt10	Polypeptide N-acetylgalactosaminyltransferase 10;Polypeptide GalNAc transferase 10;Protein-UDP acetylgalactosaminyltransferase 10;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 10	Polypeptide N-acetylgalactosaminyltransferase 10	603	5093.62	3940.82	22.3	32.71
ENSMUST00000019362;ENSMUST00000102575	Dvl2	Segment polarity protein dishevelled homolog DVL-2;DSH homolog 2;Putative uncharacterized protein	"Segment polarity protein dishevelled homolog DVL-2;dishevelled 2, dsh homolog"	736	5112.31	11441.6	14.05	16.37
ENSMUST00000026390;ENSMUST00000119797	Rabgef1;Rabex5	Rab5 GDP/GTP exchange factor;Rabex-5	Rab5 GDP/GTP exchange factor	491	5144.64	10552.06	8.89	12.32
ENSMUST00000089858	Exoc5;Sec10l1	Putative uncharacterized protein;Exocyst complex component 5;Exocyst complex component Sec10	exocyst complex component 5;Exocyst complex component 5	710	5152.09	6100.26	8.35	8.43
ENSMUST00000046916	Ckap2	Cytoskeleton-associated protein 2	Cytoskeleton-associated protein 2	664	5167.12	3009.38	21.11	12.57
ENSMUST00000034967;ENSMUST00000122091	Zwilch	Protein zwilch homolog	Zwilch	596	5171.65	1538.81	6.78	4.66
ENSMUST00000102886;ENSMUST00000091224	Sardh;RP23-171K6.2-002	"Sarcosine dehydrogenase, mitochondrial;Putative uncharacterized protein;Sarcosine dehydrogenase"	"Sarcosine dehydrogenase, mitochondrial;Sarcosine dehydrogenase"	919	5178.67	5363.71	17.75	15.32
ENSMUST00000041070	Bcr;Kiaa3017	Breakpoint cluster region protein	Breakpoint cluster region protein	1270	5197.35	2414.57	14.4	20.63
ENSMUST00000024594	Agpat4	1-acyl-sn-glycerol-3-phosphate acyltransferase delta;1-acylglycerol-3-phosphate O-acyltransferase 4;Lysophosphatidic acid acyltransferase delta	1-acyl-sn-glycerol-3-phosphate acyltransferase delta	378	5205.6	4954.84	11.65	14.55
ENSMUST00000024887	2410091C18Rik	"Protein midA homolog, mitochondrial"	"Isoform 1 of Protein midA homolog, mitochondrial;Isoform 2 of Protein midA homolog, mitochondrial"	436	5207.76	5937.46	4.95	5.14
ENSMUST00000113731;ENSMUST00000116563	Klc2;mCG_8395	Klc2 protein;Kinesin light chain 2	kinesin light chain 2;68 kDa protein;Kinesin light chain 2	619	5211.56	502.97	8.08	7.75
ENSMUST00000023069	Fam118a	Protein FAM118A	Isoform 1 of Protein FAM118A;Isoform 2 of Protein FAM118A	357	5217.11	7519.97	10.43	11.73
ENSMUST00000034785	Glce;mCG_10174	Glucuronyl C5-epimerase;D-glucuronyl C5-epimerase;Heparin/heparan sulfate:glucuronic acid C5-epimerase	Glucuronyl C5-epimerase;D-glucuronyl C5-epimerase	618	5228.51	3155.03	18.08	15.1
ENSMUST00000030630;ENSMUST00000106108	Zmym4;Kiaa0425;Zfp262;Znf262	Zinc finger MYM-type protein 4;Zinc finger protein 262	Isoform 1 of Zinc finger MYM-type protein 4;Isoform 2 of Zinc finger MYM-type protein 4	1549	5228.6	436	6.71	6.16
ENSMUST00000040360;ENSMUST00000119954	Pcf11	PCF11;Pcf11 protein	pre-mRNA cleavage complex II protein Pcf11;Pcf11 protein	1553	5232.59	382.23	6.16	3.74
ENSMUST00000078665	Dhps	Deoxyhypusine synthase	Deoxyhypusine synthase;14 kDa protein	369	5239.67	2842.35	10.79	9.58
ENSMUST00000019577	Gipc1;Gipc;Rgs19ip1;Semcap1	PDZ domain-containing protein GIPC1;RGS19-interacting protein 1;GAIP C-terminus-interacting protein;RGS-GAIP-interacting protein;Synectin;SemaF cytoplasmic domain-associated protein 1	PDZ domain-containing protein GIPC1	333	5244.88	13090.5	8.58	10.18
ENSMUST00000021135	RP23-263M10.5;1200014J11Rik;RP23-263M10.5-001;mCG_6640	Uncharacterized protein C17orf85 homolog;Putative uncharacterized protein	Isoform 1 of Uncharacterized protein C17orf85 homolog;Putative uncharacterized protein (Fragment)	615	5252.68	783.12	3.74	3.69
ENSMUST00000063988;ENSMUST00000065681	Tbl1xr1;Ira1;Tblr1	F-box-like/WD repeat-containing protein TBL1XR1;Transducin beta-like 1X-related protein 1;Nuclear receptor corepressor/HDAC3 complex subunit TBLR1;TBL1-related protein 1	F-box-like/WD repeat-containing protein TBL1XR1	514	5253.92	2204.73	4.71	3.43
ENSMUST00000062804	Fut8	"Putative uncharacterized protein;Alpha-(1,6)-fucosyltransferase;Glycoprotein 6-alpha-L-fucosyltransferase;GDP-fucose--glycoprotein fucosyltransferase;GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase;Fucosyltransferase 8"	"Putative uncharacterized protein;Alpha-(1,6)-fucosyltransferase"	575	5266.98	3789.48	11.27	28.63
			YLP motif containing 1	1941	5272.73	1136.95	11.92	11.8
ENSMUST00000030201;ENSMUST00000102936;ENSMUST00000102937	Gne;RP23-209M8.6-003	Glucosamine	glucosamine	753	5277.41	5200.18	3.56	2.92
ENSMUST00000028157;ENSMUST00000113889	Gtf3c5	General transcription factor 3C polypeptide 5;Transcription factor IIIC subunit epsilon;TF3C-epsilon;TFIIIC 63 kDa subunit	Isoform 1 of General transcription factor 3C polypeptide 5;Isoform 2 of General transcription factor 3C polypeptide 5	520	5278.23	2377.97	12.09	10.32
ENSMUST00000015157	Trappc2l	Trafficking protein particle complex subunit 2-like protein	Trafficking protein particle complex subunit 2-like protein	139	5281.81	12714.93	15.84	14.99
ENSMUST00000065512;ENSMUST00000087938	Rtkn	Rhotekin	Isoform 1 of Rhotekin;Isoform 2 of Rhotekin;24 kDa protein	564	5294.36	576.15	6.75	12.5
ENSMUST00000109554;ENSMUST00000096328	Zc3h7b	Putative uncharacterized protein	ubiquitous tetratricopeptide containing protein RoXaN;Putative uncharacterized protein	982	5311.85	9477.14	27.14	37.29
ENSMUST00000100339	Commd6	COMM domain-containing protein 6;Commd6 protein	COMM domain-containing protein 6;COMM domain containing 6 isoform 2	87	5360.7	10189.95	7.14	6.8
ENSMUST00000115510;ENSMUST00000115511;ENSMUST00000115514	Phf14	PHD finger protein 14	Isoform 2 of PHD finger protein 14;Isoform 1 of PHD finger protein 14;Isoform 3 of PHD finger protein 14	941	5373.34	2512.95	3.77	4.65
ENSMUST00000100167	Abcc1;Abcc1a;Abcc1b;Mdrap;Mrp	Multidrug resistance-associated protein 1;ATP-binding cassette sub-family C member 1;Leukotriene C(4) transporter	Multidrug resistance-associated protein 1	1528	5395.39	6360.22	41.2	38.82
ENSMUST00000071816;ENSMUST00000080440;ENSMUST00000100837	Camk2g	Calcium/calmodulin-dependent protein kinase type II gamma chain	Isoform 1 of Calcium/calmodulin-dependent protein kinase type II subunit gamma;Isoform 2 of Calcium/calmodulin-dependent protein kinase type II subunit gamma;Isoform 3 of Calcium/calmodulin-dependent protein kinase type II subunit gamma;similar to Calcium/	529	5407.16	21251.26	7.55	8.86
ENSMUST00000033695	Abcb7;RP23-202N14.1-001;Abc7	"ATP-binding cassette, sub-family B (MDR/TAP), member 7;ATP-binding cassette sub-family B member 7, mitochondrial;ATP-binding cassette transporter 7"	"ATP-binding cassette, sub-family B (MDR/TAP), member 7;ATP-binding cassette sub-family B member 7, mitochondrial;77 kDa protein"	752	5439.83	4893.28	5.36	4.59
ENSMUST00000048807	Mis12	Protein MIS12 homolog	Protein MIS12 homolog	206	5455.82	5729.43	19.65	14.32
ENSMUST00000047860;ENSMUST00000065065	MNCb-4931;2610024G14Rik	Uncharacterized protein C4orf14 homolog;Putative uncharacterized protein	Uncharacterized protein C4orf14 homolog;Putative uncharacterized protein	693	5464.99	293.92	17.37	17.66
ENSMUST00000026827		UPF0585 protein C16orf13 homolog	UPF0585 protein C16orf13 homolog	204	5466.72	10992.06	10.24	9.02
ENSMUST00000068156;ENSMUST00000112873	Vps13a;Chac;Kiaa0986	Vacuolar protein sorting-associated protein 13A;Chorein;Chorea-acanthocytosis protein homolog	Isoform 1 of Vacuolar protein sorting-associated protein 13A;Isoform 2 of Vacuolar protein sorting-associated protein 13A	3166	5470.39	4701.99	4.5	5.23
ENSMUST00000026243;ENSMUST00000070185	Mgea5;Hexc;Kiaa0679	Bifunctional protein NCOAT;Nuclear cytoplasmic O-GlcNAcase and acetyltransferase;Meningioma-expressed antigen 5;Beta-hexosaminidase;N-acetyl-beta-glucosaminidase;Beta-N-acetylhexosaminidase;Hexosaminidase C;N-acetyl-beta-D-glucosaminidase;O-GlcNAcase;Histone acetyltransferase	Isoform 3 of Bifunctional protein NCOAT;Isoform 1 of Bifunctional protein NCOAT	954	5478.7	37331.25	20.75	30.46
ENSMUST00000061973;ENSMUST00000112053;ENSMUST00000112054	Trex1	Three prime repair exonuclease 1;3'-5' exonuclease TREX1	Three prime repair exonuclease 1;16 kDa protein	314	5493.62	11685.53	7.39	12.46
ENSMUST00000021406	2700097O09Rik;mCG_21241	Putative uncharacterized protein;RIKEN cDNA 2700097O09	hypothetical protein LOC72658;Putative uncharacterized protein	301	5504.58	6567.33	4.72	3.92
ENSMUST00000050872;ENSMUST00000075543;ENSMUST00000107250	Nfib	Nuclear factor 1 B-type;NFI-B;NF-I/B;CCAAT-box-binding transcription factor;TGGCA-binding protein;Nuclear factor 1	Isoform 1 of Nuclear factor 1 B-type;nuclear factor I/B isoform 2;55 kDa protein;Isoform 2 of Nuclear factor 1 B-type;Isoform 3 of Nuclear factor 1 B-type;Nuclear factor 1	570	5523.08	9136.23	10.01	8.3
ENSMUST00000058154;ENSMUST00000099318	Tmtc3	Transmembrane and TPR repeat-containing protein 3	Isoform 1 of Transmembrane and TPR repeat-containing protein 3	920	5528.47	10711.82	8.03	7
ENSMUST00000076270;ENSMUST00000081362;ENSMUST00000100928;ENSMUST00000108533	Rabep1;Rab5ep;Rabpt5;Rabpt5a;DN-279H6.1-002;RP23-83I13.2-002;mCG_21169	"Rab GTPase-binding effector protein 1;Rabaptin-5;Rabaptin-5alpha;Rabaptin, RAB GTPase binding effector protein 1;Rabaptin, RAB GTPase binding effector protein 1, isoform CRA_a"	"Isoform 6 of Rab GTPase-binding effector protein 1;Isoform 1 of Rab GTPase-binding effector protein 1;rabaptin, RAB GTPase binding effector protein 1;Isoform 3 of Rab GTPase-binding effector protein 1;Rabaptin, RAB GTPase binding effector protein 1, isofor"	864	5536.1	7900.34	15.34	13.78
ENSMUST00000050183;ENSMUST00000058974	Uaca;Kiaa1561	Uveal autoantigen with coiled-coil domains and ankyrin repeats;Nuclear membrane-binding protein;Uaca protein	Isoform 3 of Uveal autoantigen with coiled-coil domains and ankyrin repeats;Isoform 1 of Uveal autoantigen with coiled-coil domains and ankyrin repeats;Uaca protein;Isoform 2 of Uveal autoantigen with coiled-coil domains and ankyrin repeats	1413	5560.14	2740.75	13.64	30.52
ENSMUST00000035889;ENSMUST00000076140;ENSMUST00000113266;ENSMUST00000113268;ENSMUST00000113259;ENSMUST00000098514	Myo6;mKIAA0389;Sv	Putative uncharacterized protein;MKIAA0389 protein;Myosin VI;Myosin-VI	146 kDa protein;Putative uncharacterized protein;MKIAA0389 protein;myosin VI;Myosin-VI;146 kDa protein	1266	5565.02	73.62	1.11	1.55
ENSMUST00000018625	Appbp2;Kiaa0228	Amyloid protein-binding protein 2;Amyloid beta precursor protein-binding protein 2	Amyloid protein-binding protein 2	585	5607.06	331.7	22.95	25.25
ENSMUST00000070165;ENSMUST00000096648	Nup98	Nup98 protein	Nucleoporin 98	1187	5610.27	3036.31	24.06	30.24
ENSMUST00000093360	Tnpo2	Transportin-2;Karyopherin beta-2b	karyopherin (importin) beta 2b	897	5614.08	13546.41	25.95	21.66
ENSMUST00000029505;ENSMUST00000098750;ENSMUST00000098751;ENSMUST00000106736	4933421E11Rik	Uncharacterized protein C1orf103 homolog;4933421E11Rik protein	Isoform 1 of Uncharacterized protein C1orf103 homolog;receptor-interacting factor 1 isoform 3;receptor-interacting factor 1 isoform 2	755	5647.63	1716.2	5.18	5.07
ENSMUST00000061552	Sgk269;Kiaa2002	Tyrosine-protein kinase-protein kinase SgK269;Sugen kinase 269	Tyrosine-protein kinase SgK269	1735	5667.38	6121.8	17.78	28.75
ENSMUST00000041633	Tap1;Abcb2;Ham-1;Ham1	Antigen peptide transporter 1;Peptide transporter TAP1;ATP-binding cassette sub-family B member 2;Histocompatibility antigen modifier 1;Tap1 protein;Putative uncharacterized protein	"Antigen peptide transporter 1;transporter 1, ATP-binding cassette, sub-family B isoform 1;transporter 1, ATP-binding cassette, sub-family B isoform 2"	724	5669.03	43494.57	3.33	12.48
ENSMUST00000021800	Ccdc90a	"Coiled-coil domain-containing protein 90A, mitochondrial"	"Isoform 1 of Coiled-coil domain-containing protein 90A, mitochondrial;Isoform 2 of Coiled-coil domain-containing protein 90A, mitochondrial"	340	5669.57	2633.26	4.72	7.53
ENSMUST00000094933	Usp24	Ubiquitin carboxyl-terminal hydrolase 24	Isoform 1 of Ubiquitin carboxyl-terminal hydrolase 24	2617	5671.57	3381.25	9.96	9.85
ENSMUST00000024851	Ndc80;Hec1;Kntc2	Kinetochore protein NDC80 homolog;Kinetochore protein Hec1;Kinetochore-associated protein 2	Kinetochore protein NDC80 homolog	642	5672.45	6082.75	8.88	6.97
ENSMUST00000036381	Chmp7	Charged multivesicular body protein 7;Chromatin-modifying protein 7	Isoform 1 of Charged multivesicular body protein 7;Isoform 2 of Charged multivesicular body protein 7	451	5672.95	5078.48	8.58	7.41
ENSMUST00000023393	Gbe1	"1,4-alpha-glucan-branching enzyme;Glycogen-branching enzyme;Brancher enzyme"	"1,4-alpha-glucan-branching enzyme"	702	5675.85	8025.78	5.42	5.52
ENSMUST00000002925;ENSMUST00000114734		Transmembrane protein C3orf1 homolog	Transmembrane protein C3orf1 homolog	285	5689	2738.29	3.77	4.77
ENSMUST00000029140	Procr;mCG_21074;Epcr;RP23-388H13.2-001;RP23-388H13.2-004	"Procr protein;Protein C receptor, endothelial, isoform CRA_b;Endothelial protein C receptor;Endothelial cell protein C receptor;Activated protein C receptor;Centrocyclin;Centrosomal protein CCD41;Protein C receptor endothelial;Putative uncharacterized protein;Protein C receptor, endothelial, isoform CRA_c;Protein C receptor, endothelial, isoform CRA_a"	"Protein C receptor, endothelial, isoform CRA_b;Endothelial protein C receptor;protein C receptor, endothelial;Protein C receptor, endothelial, isoform CRA_a"	256	5695.89	136049.01	16.08	22.55
ENSMUST00000097343	Rdbp;D17h6s45;Nelfe;Rd	Negative elongation factor E;RNA-binding protein RD	Isoform 1 of Negative elongation factor E;Isoform 2 of Negative elongation factor E	375	5711.86	2216.28	23.98	21.84
ENSMUST00000066330;ENSMUST00000072031;ENSMUST00000073066;ENSMUST00000108753;ENSMUST00000116371	Mprip;AA536749;RP23-180B18.4-002;Kiaa0864;Mrip;Rhoip3	Myosin phosphatase Rho interacting protein;Myosin phosphatase Rho-interacting protein;Rho-interacting protein 3;p116Rip	Myosin phosphatase Rho interacting protein;Isoform 2 of Myosin phosphatase Rho-interacting protein;Isoform 5 of Myosin phosphatase Rho-interacting protein;Isoform 1 of Myosin phosphatase Rho-interacting protein;Isoform 3 of Myosin phosphatase Rho-interacti	2269	5750.94	1819.8	48.39	51.05
ENSMUST00000031229;ENSMUST00000087029;ENSMUST00000101048;ENSMUST00000113238	Rufy3;D5Bwg0860e;Ripx	Protein RUFY3;Rap2-interacting protein x;Single axon-regulated protein;Putative uncharacterized protein	Isoform 2 of Protein RUFY3;Isoform 4 of Protein RUFY3;Isoform 3 of Protein RUFY3;Isoform 1 of Protein RUFY3;Putative uncharacterized protein	669	5753.75	1321.85	1.65	1.37
ENSMUST00000012259;ENSMUST00000080936;ENSMUST00000100120	Med15;Pcqap;mFLJ00386;mCG_131830	"Mediator of RNA polymerase II transcription subunit 15;Mediator complex subunit 15;Positive cofactor 2 glutamine/Q-rich-associated protein;MFLJ00386 protein;Positive cofactor 2, multiprotein complex, glutamine/Q-rich-associated protein, isoform CRA_b;Med15 protein"	Mediator of RNA polymerase II transcription subunit 15;mediator complex subunit 15 isoform b;Putative uncharacterized protein	792	5755.89	5964.71	21.25	24.23
ENSMUST00000021667	Isca2;Hbld1	"Iron-sulfur cluster assembly 2 homolog, mitochondrial;HESB-like domain-containing protein 1"	"Iron-sulfur cluster assembly 2 homolog, mitochondrial"	154	5762.7	5034.27	6.54	9.91
ENSMUST00000044217;ENSMUST00000085280	Syne2	Syne2 protein	synaptic nuclear envelope 2	6874	5764.41	1943.8	3.53	5.23
ENSMUST00000023615	Dscr3;Dcra;Dscra	Down syndrome critical region protein 3 homolog;Down syndrome critical region protein A homolog	Down syndrome critical region protein 3 homolog	297	5789.45	2795.47	10.89	9.34
ENSMUST00000019975;ENSMUST00000105509	Wasf1;Wave1	Wiskott-Aldrich syndrome protein family member 1;Protein WAVE-1	Wiskott-Aldrich syndrome protein family member 1	559	5801.45	1276.21	3.42	4.71
ENSMUST00000043616	Zyg11b;Kiaa1730	Protein zyg-11 homolog B	Isoform 1 of Protein zyg-11 homolog B;Isoform 3 of Protein zyg-11 homolog B;Isoform 2 of Protein zyg-11 homolog B	744	5825.35	389.29	4.1	5.24
ENSMUST00000035116	Pccb	"Pccb protein;Propionyl-CoA carboxylase beta chain, mitochondrial;Propanoyl-CoA:carbon dioxide ligase subunit beta;Putative uncharacterized protein"	"Propionyl Coenzyme A carboxylase, beta polypeptide, isoform CRA_a;Propionyl-CoA carboxylase beta chain, mitochondrial;Putative uncharacterized protein"	541	5853.15	3255.8	6.36	4.37
ENSMUST00000006692	Mvd	Diphosphomevalonate decarboxylase;Mevalonate pyrophosphate decarboxylase;Mevalonate (diphospho)decarboxylase	Diphosphomevalonate decarboxylase	401	5865.6	24352.58	4.1	5.44
ENSMUST00000036952	Kct2	Keratinocyte-associated transmembrane protein 2	Keratinocyte-associated transmembrane protein 2	259	5867.34	19364.17	38.55	49.48
ENSMUST00000048079;ENSMUST00000074686;ENSMUST00000122327	Fam160a2;Kiaa1759	UPF0518 protein FAM160A2;FTS and Hook-interacting protein	Isoform 1 of FTS and Hook-interacting protein;Isoform 3 of FTS and Hook-interacting protein;Isoform 2 of FTS and Hook-interacting protein	975	5871.13	3662.78	8.19	8.96
ENSMUST00000024620	Riok2	Serine/threonine-protein kinase RIO2;Putative uncharacterized protein	Serine/threonine-protein kinase RIO2;Putative uncharacterized protein	547	5874.77	1737.72	13.61	14.83
ENSMUST00000034377	Lypla3	1-O-acylceramide synthase;Lysosomal phospholipase A2;Lysophospholipase 3;LCAT-like lysophospholipase	Group XV phospholipase A2	412	5884.8	3666.08	6.77	5.45
ENSMUST00000035089;ENSMUST00000111838;ENSMUST00000111848;ENSMUST00000111849	Clasp2;Kiaa0627	CLIP-associating protein 2;Cytoplasmic linker-associated protein 2;Clasp2 protein	CLIP-associating protein CLASP2 c;CLIP-associating protein CLASP2 isoform b	1514	5912.44	249.9	6.32	5.97
ENSMUST00000045905;ENSMUST00000116488	Fermt2;Plekhc1	Fermitin family homolog 2;Pleckstrin homology domain-containing family C member 1;Kindlin-2	Fermitin family homolog 2	680	5922.24	30338.59	17.15	17.22
ENSMUST00000059052	Rg9mtd1;Mrpp1	Mitochondrial ribonuclease P protein 1;RNA (guanine-9-)-methyltransferase domain-containing protein 1	Mitochondrial ribonuclease P protein 1	414	5939.74	8571.36	13.2	10.37
ENSMUST00000077672;ENSMUST00000109444	Col4a3bp;Stard11	Collagen type IV alpha-3-binding protein;Ceramide transfer protein;Goodpasture antigen-binding protein;StAR-related lipid transfer protein 11;START domain-containing protein 11	Isoform 1 of Collagen type IV alpha-3-binding protein;Isoform 2 of Collagen type IV alpha-3-binding protein	624	5968.85	4368.99	7.34	7.45
ENSMUST00000047873;ENSMUST00000098683;ENSMUST00000108423;ENSMUST00000108424;ENSMUST00000117419	Arhgef1;Lbcl2;Lsc	Rho guanine nucleotide exchange factor 1;Lymphoid blast crisis-like 2;Lbc's second cousin	Rho guanine nucleotide exchange factor (GEF) 1 isoform b;Isoform 1 of Rho guanine nucleotide exchange factor 1;Isoform 5 of Rho guanine nucleotide exchange factor 1;Isoform 2 of Rho guanine nucleotide exchange factor 1;Isoform 4 of Rho guanine nucleotide e	976	5972.89	7786.77	10.73	14.21
